"country";"indicator";"year";"value"
"DNK";306;2000;5338,3
"DNK";306;2005;5417,7
"DNK";306;2006;5440,9
"DNK";306;2007;5467,6
"DNK";306;2009;5524,4
"DNK";306;2010;5551
"DNK";306;2011;5575,2
"DNK";306;2012;5597,8
"DNK";306;2013;5619,1
"DOM";306;1980;5825,7
"DOM";306;1985;6523,7
"DOM";306;1990;7245,1
"DOM";306;1995;7978
"DOM";306;2000;8663,4
"DOM";306;2005;9343,4
"DOM";306;2006;9479,3
"DOM";306;2007;9615
"DOM";306;2009;9884,3
"DOM";306;2010;10016,8
"DOM";306;2011;10147,6
"DOM";306;2012;10276,6
"DOM";306;2013;10403,8
"DZA";306;1980;19475,2
"DZA";306;1985;22847,4
"DZA";306;1990;26239,7
"DZA";306;1995;29315,5
"DZA";306;2000;31719,4
"DZA";306;2005;33960,9
"DZA";306;2006;34507,2
"DZA";306;2007;35097
"DZA";306;2009;36383,3
"DZA";306;2010;37062,8
"DZA";306;2011;37763
"DZA";306;2012;38481,7
"DZA";306;2013;39208,2
"ECU";306;1980;7909,4
"ECU";306;1985;8962
"ECU";306;1990;10123,6
"ECU";306;1995;11315,8
"ECU";306;2000;12533,1
"ECU";306;2005;13777,1
"ECU";306;2006;14023,5
"ECU";306;2007;14268,4
"ECU";306;2009;14756,4
"ECU";306;2010;15001,1
"ECU";306;2011;15246,5
"ECU";306;2012;15492,3
"ECU";306;2013;15737,9
"EGY";306;1980;44932
"EGY";306;1985;50346,6
"EGY";306;1990;56336,6
"EGY";306;1995;61168,4
"EGY";306;2000;66136,6
"EGY";306;2005;71777,7
"EGY";306;2006;72990,8
"EGY";306;2007;74229,6
"EGY";306;2009;76775
"EGY";306;2010;78075,7
"EGY";306;2011;79392,5
"EGY";306;2012;80721,9
"EGY";306;2013;82056,4
"ERI";306;1980;2414,6
"ERI";306;1985;2831,9
"ERI";306;1990;3272,6
"ERI";306;1995;3407,8
"ERI";306;2000;3939,3
"ERI";306;2005;4854,1
"ERI";306;2006;5035
"ERI";306;2007;5209,8
"ERI";306;2009;5557,9
"ERI";306;2010;5741,2
"ERI";306;2011;5932,9
"ERI";306;2012;6130,9
"ERI";306;2013;6333,1
